5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,5,1,1,1,6,1,1,1,1,1,1,1,5,1,25,1,1,1,5,6,1,1,1,1,1,25,1,1,1,26,1,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,5,5,5
5,5,5,1,1,6,1,1,1,24,1,1,1,1,1,1,5,1,26,1,1,5,1,6,1,5,1,25,1,1,1,1,1,1,5,1,25,1,6,1,1,1,1,1,25,1,1,1,26,1,1,1,1,1,24,1,1,12,6,1,1,1,1,24,1,1,1,1,1,1,1,1,24,1,1,12,6,1,1,1,1,1,1,1,1,12,12,12,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,5,1,1,1,1,1,5,5,5
5,5,5,1,1,6,1,1,1,1,1,1,5,1,1,26,1,1,1,1,5,1,26,6,1,1,1,1,6,5,1,1,5,1,1,1,5,1,6,1,1,24,1,1,5,1,5,1,5,1,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,1,1,1,6,1,1,25,1,5,5,5,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,1,25,5,5,1,1,1,1,1,5,5,5
5,5,5,1,1,5,5,5,1,1,1,1,1,1,5,1,1,5,1,25,1,1,1,5,1,1,5,1,6,1,1,25,1,1,26,1,1,1,5,1,1,1,1,1,5,1,5,1,5,1,1,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,12,32,12,1,1,1,1,26,5,5,5,1,1,1,1,1,5,5,5
5,5,5,1,1,1,1,1,1,5,5,1,1,25,1,1,5,1,1,5,1,6,1,1,5,1,26,1,6,1,5,6,1,5,1,5,1,1,26,32,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,1,1,1,1,12,6,12,1,1,1,1,25,1,1,1,6,1,1,1,1,1,5,5,5,1,1,1,25,5,5,5,5,1,1,1,1,1,5,5,5
5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,6,1,1,1,5,1,25,1,1,1,1,5,1,1,6,1,1,1,1,6,1,1,5,1,1,1,1,5,1,5,1,5,1,1,1,1,1,24,1,1,12,6,1,1,1,1,24,1,1,12,6,1,1,1,1,24,1,1,1,1,1,1,5,5,5,26,1,1,6,1,1,1,1,6,12,12,1,1,1,1,1,1,1,1,26,5,5,5,5,5,1,1,1,1,1,5,5,5
5,5,5,1,24,1,1,6,1,1,1,1,5,1,1,1,1,5,1,25,6,1,1,1,1,1,5,1,25,1,1,5,1,5,1,1,5,1,5,1,1,1,1,1,5,1,5,1,5,1,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,26,1,5,5,5,1,1,1,1,1,1,1,25,5,5,5,5,5,5,1,1,1,1,1,5,5,5
